XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
697573.55951719,4012627.30287876,88,86,44,30.9727996992738
697573.55951719,4012627.30287876,88,90,45,293.033978746167
697488.04279420,4012829.09357903,90,88,45,293.033978746167
697488.04279420,4012829.09357903,90,92,46,32.1442634700435
697455.89957202,4012829.35231002,92,90,46,32.1442634700435
697455.89957202,4012829.35231002,92,94,47,414.768701971702
697100.56411946,4012971.11692046,94,92,47,414.768701971702
697100.56411946,4012971.11692046,94,96,48,18.046745871837
697083.13124659,4012975.78382307,96,94,48,18.046745871837
697083.13124659,4012975.78382307,96,102,51,545.141905062795
